,RA_2,DEC_2,source_id
0,8.9069625,48.79486666666666,391329794783617792
1,8.899720833333333,48.791238888888884,391329799081141248
2,8.910824999999997,48.800905555555545,391329829143360640
3,8.8737,48.80468055555554,391329863501411712
4,8.877758333333333,48.79893055555554,391329863503097088
5,8.8781,48.80633333333333,391329867798595200
6,8.877358333333332,48.80541944444444,391329867800611456
7,8.879854166666666,48.80305833333333,391329867800612096
8,8.888087500000003,48.799597222222225,391329867800613248
9,8.884616666666666,48.808275,391329897861151488
10,8.876650000000003,48.81952777777778,391329897861163392
11,8.879216666666668,48.81987222222222,391329902158332160
12,8.898266666666668,48.81079166666667,391329902158335104
13,8.883145833333334,48.817508333333336,391329902160346240
14,8.894916666666667,48.813780555555546,391329902160348288
15,8.897787500000002,48.81014444444444,391329902160349440
16,8.879466666666668,48.81575,391329902161863424
17,8.951683333333337,48.794363888888896,391329936518083072
18,8.956487500000003,48.79785555555554,391329966582311808
19,8.955658333333334,48.80890555555556,391329966582321280
20,8.967570833333333,48.79705833333333,391329970879835392
21,8.937920833333337,48.796372222222224,391330000942049024
22,8.928733333333334,48.80315833333333,391330005236115712
23,8.942725000000003,48.80118055555555,391330005236119808
24,8.9288875,48.80563333333333,391330005239566976
25,8.937270833333333,48.80508055555556,391330005239568000
26,8.930929166666667,48.8034,391330005239568512
27,8.944879166666666,48.805925,391330035301794944
28,8.933970833333333,48.8191638888889,391330035301804672
29,8.935879166666668,48.81360555555555,391330039599303552
30,8.966516666666667,48.808855555555546,391330069661536128
31,8.971279166666667,48.81612777777778,391330069661540992
32,8.963537500000003,48.81983055555556,391330069661543168
33,8.9649875,48.816638888888896,391330073959042688
34,8.972720833333334,48.82071944444446,391330104021282816
35,8.972245833333334,48.823461111111115,391330104021283712
36,8.973754166666668,48.821361111111116,391330104022099072
37,8.966145833333334,48.828369444444455,391330108318777344
38,8.9425,48.82854166666667,391330142676507520
39,8.937979166666667,48.839355555555564,391330172739089280
40,8.937991666666667,48.84290277777777,391330172739092480
41,8.944716666666666,48.83557777777778,391330177039769472
42,8.905025,48.820105555555564,391330207098809088
43,8.913495833333334,48.807491666666664,391330207100488320
44,8.9083875,48.82454166666667,391330241458550656
45,8.909916666666668,48.832505555555564,391330241458558720
46,8.906279166666668,48.83412222222222,391330245757725824
47,8.920175,48.81638055555555,391330245757732224
48,8.893491666666668,48.81866666666667,391330275818284800
49,8.898620833333334,48.82600833333333,391330280117466624
50,8.9014125,48.828055555555565,391330310178031616
51,8.8920375,48.83282500000001,391330310178035712
52,8.892775,48.83728333333334,391330310178039808
53,8.893829166666666,48.84063888888889,391330310178043264
54,8.913916666666667,48.83540833333333,391330344537776512
55,8.911258333333334,48.84156944444445,391330344537782784
56,8.907408333333334,48.84504166666667,391330348835315968
57,8.928966666666668,48.8471888888889,391330378897526912
58,8.897070833333332,48.84836111111111,391330413257266304
59,8.893641666666667,48.853111111111104,391330413257272576
60,8.891791666666666,48.866186111111105,391330447617025408
61,8.904058333333333,48.85818888888889,391330451914528640
62,8.850491666666667,48.794497222222226,391330481976694016
63,8.848879166666666,48.79236944444444,391330486276281472
64,8.857066666666668,48.79041944444445,391330486277416448
65,8.863816666666667,48.796477777777774,391330516336433024
66,8.8545125,48.79696111111111,391330516336433280
67,8.855829166666668,48.80191944444446,391330516336437760
68,8.851650000000003,48.811205555555546,391330516336445440
69,8.868104166666667,48.79143333333333,391330520632194304
70,8.841275000000003,48.79752222222222,391330550696172032
71,8.832858333333334,48.80181944444444,391330550696175104
72,8.831450000000002,48.80896666666666,391330554991911424
73,8.830779166666666,48.809369444444435,391330554995374976
74,8.841625,48.80880277777778,391330585055920256
75,8.835829166666667,48.812447222222225,391330589353091712
76,8.835250000000002,48.81379722222222,391330589355112448
77,8.8434,48.80523611111111,391330589355528064
78,8.861466666666667,48.81677777777778,391330619415666048
79,8.8579125,48.818325,391330619415667968
80,8.865841666666666,48.8067,391330623714854656
81,8.872304166666668,48.81805277777778,391330653775405696
82,8.8610375,48.821777777777775,391330653775409280
83,8.8709875,48.823227777777774,391330653775409920
84,8.874745833333334,48.82378888888889,391330658076106880
85,8.849204166666668,48.8264638888889,391330688135151104
86,8.84305,48.817713888888896,391330692434742912
87,8.846025000000003,48.83370555555556,391330722494897280
88,8.8427125,48.84091944444446,391330722494903808
89,8.837733333333334,48.84447222222222,391330722494907136
90,8.833333333333334,48.84584444444446,391330722494908544
91,8.842308333333332,48.833011111111105,391330726794060288
92,8.800525,48.815119444444434,391330756854617984
93,8.815695833333336,48.8153,391330756854618368
94,8.801595833333334,48.82296388888889,391330756854624768
95,8.822258333333334,48.80693333333333,391330761153805824
96,8.814554166666667,48.826561111111104,391330791214367104
97,8.813925000000003,48.83096666666667,391330791214371072
98,8.805375,48.83175277777778,391330791214371968
99,8.806254166666667,48.83533333333334,391330791214374912
100,8.808062500000002,48.82819722222222,391330795513536640
101,8.819845833333334,48.81611944444444,391330795513540864
102,8.7850125,48.825836111111116,391330825574103552
103,8.779370833333333,48.83275,391330825574111104
104,8.7929,48.82429166666667,391330829869802240
105,8.7766,48.826419444444454,391330829873273984
106,8.791825,48.826172222222226,391330829873274368
107,8.793929166666667,48.84082222222222,391330859933857408
108,8.786075,48.83528888888889,391330864233009792
109,8.824250000000003,48.838772222222225,391330894293593600
110,8.810275,48.84116388888889,391330894293596032
111,8.819058333333333,48.832761111111104,391330894299004928
112,8.82455,48.85103055555556,391330928653344896
113,8.809829166666667,48.85850555555556,391330928653352320
114,8.823045833333335,48.84744166666667,391330928656522240
